SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SECTION 504,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2022-2023,15838,COMPASS ROSE PUBLIC SCHOOLS,20,OPEN ENROLLMENT CHARTER,2702,473,0,88,1913,356,13,-999,0,0,37,175,313,1109
STATE,DISTRICT,2022-2023,101842,COMQUEST ACADEMY,4,OPEN ENROLLMENT CHARTER,54,46,-999,-999,34,23,20,0,0,0,0,-999,-999,54
STATE,DISTRICT,2022-2023,233903,COMSTOCK ISD,15,TRADITIONAL ISD/CSD,222,78,0,-999,92,-999,0,0,13,0,25,14,21,222
STATE,DISTRICT,2022-2023,161921,CONNALLY ISD,12,TRADITIONAL ISD/CSD,2332,1353,0,204,1950,288,25,0,110,-999,-999,231,286,1728
STATE,DISTRICT,2022-2023,170902,CONROE ISD,6,TRADITIONAL ISD/CSD,70783,28792,5574,4144,31057,13633,7661,104,5771,434,417,6170,7252,21394
STATE,DISTRICT,2022-2023,147901,COOLIDGE ISD,12,TRADITIONAL ISD/CSD,295,117,0,28,227,39,39,0,-999,0,-999,47,59,295
STATE,DISTRICT,2022-2023,60902,COOPER ISD,8,TRADITIONAL ISD/CSD,888,309,0,87,588,37,38,-999,87,-999,25,100,127,888
STATE,DISTRICT,2022-2023,57922,COPPELL ISD,10,TRADITIONAL ISD/CSD,13361,3653,376,717,1321,2373,2039,-999,1794,40,364,871,1329,4131
STATE,DISTRICT,2022-2023,50910,COPPERAS COVE ISD,12,TRADITIONAL ISD/CSD,8043,4086,67,823,4905,511,321,25,451,102,3757,1142,1360,3808
STATE,DISTRICT,2022-2023,178904,CORPUS CHRISTI ISD,2,TRADITIONAL ISD/CSD,33387,21877,808,1820,24305,2614,833,56,1090,773,585,3038,4378,32559
STATE,DISTRICT,2022-2023,178807,CORPUS CHRISTI MONTESSORI SCHOOL,2,OPEN ENROLLMENT CHARTER,138,22,0,10,43,-999,-999,0,0,0,-999,-999,20,0
STATE,DISTRICT,2022-2023,187904,CORRIGAN-CAMDEN ISD,6,TRADITIONAL ISD/CSD,836,374,0,51,574,78,74,-999,77,0,12,63,120,836
STATE,DISTRICT,2022-2023,175903,CORSICANA ISD,12,TRADITIONAL ISD/CSD,6096,3962,402,611,4841,1684,1098,12,614,19,180,719,859,6096
STATE,DISTRICT,2022-2023,95902,COTTON CENTER ISD,17,TRADITIONAL ISD/CSD,100,39,0,-999,61,-999,-999,-999,0,0,0,13,21,100
STATE,DISTRICT,2022-2023,142901,COTULLA ISD,20,TRADITIONAL ISD/CSD,1170,679,0,143,993,84,74,0,71,-999,42,181,199,1170
STATE,DISTRICT,2022-2023,246914,COUPLAND ISD,13,TRADITIONAL ISD/CSD,285,158,0,12,173,89,89,-999,-999,-999,0,12,43,285
STATE,DISTRICT,2022-2023,109903,COVINGTON ISD,12,TRADITIONAL ISD/CSD,319,126,0,17,196,20,11,0,17,0,-999,19,54,319
STATE,DISTRICT,2022-2023,129901,CRANDALL ISD,10,TRADITIONAL ISD/CSD,6003,3034,193,346,3719,1097,513,23,440,12,200,508,891,3317
STATE,DISTRICT,2022-2023,52901,CRANE ISD,15,TRADITIONAL ISD/CSD,1179,714,0,52,739,307,243,0,82,0,-999,57,93,848
STATE,DISTRICT,2022-2023,18908,CRANFILLS GAP ISD,12,TRADITIONAL ISD/CSD,126,46,0,11,78,-999,0,-999,-999,-999,0,12,24,126
STATE,DISTRICT,2022-2023,161901,CRAWFORD ISD,12,TRADITIONAL ISD/CSD,593,136,0,42,97,-999,-999,0,22,0,31,44,75,593
STATE,DISTRICT,2022-2023,53001,CROCKETT COUNTY CONSOLIDATED CSD,15,TRADITIONAL ISD/CSD,706,322,0,51,436,106,72,-999,48,11,22,84,80,706
STATE,DISTRICT,2022-2023,113901,CROCKETT ISD,6,TRADITIONAL ISD/CSD,1203,614,0,77,1073,228,130,0,48,12,-999,117,166,1203
STATE,DISTRICT,2022-2023,101906,CROSBY ISD,4,TRADITIONAL ISD/CSD,6717,3425,451,355,4186,1296,337,-999,372,40,272,446,880,6697
STATE,DISTRICT,2022-2023,54901,CROSBYTON CISD,17,TRADITIONAL ISD/CSD,305,161,0,19,254,-999,-999,-999,10,-999,0,30,50,305
STATE,DISTRICT,2022-2023,30901,CROSS PLAINS ISD,14,TRADITIONAL ISD/CSD,377,164,0,29,256,11,11,-999,23,13,-999,30,53,212
STATE,DISTRICT,2022-2023,107904,CROSS ROADS ISD,7,TRADITIONAL ISD/CSD,560,212,0,48,351,25,25,-999,30,-999,-999,67,76,560
STATE,DISTRICT,2022-2023,184801,CROSSTIMBERS ACADEMY,11,OPEN ENROLLMENT CHARTER,151,151,0,18,64,0,0,0,0,0,10,32,17,151
STATE,DISTRICT,2022-2023,78901,CROWELL ISD,9,TRADITIONAL ISD/CSD,197,99,0,11,128,-999,-999,0,15,-999,0,-999,37,197
STATE,DISTRICT,2022-2023,220912,CROWLEY ISD,11,TRADITIONAL ISD/CSD,16729,10307,940,1062,12655,2940,1529,44,1396,30,220,1221,2122,16729
